Clip_Filename,Average_H,Average_S,Average_V
clip340.mov,24.41574614348234,151.1525401249638,16.35716631854022
clip341.mov,42.94204171639901,159.62629417136864,12.061391104239
clip342.mov,32.22617847583912,160.6636899820964,16.366286779333045
clip343.mov,30.933216032805262,173.3382171404804,17.05940960919416
clip344.mov,34.4782736771195,176.18244339554397,16.134945543077254
clip345.mov,39.32551086425781,168.58883924696178,13.792186934859664
clip346.mov,20.1312646484375,176.18504096137156,16.74287039297598
clip347.mov,25.143256519458912,163.98890624999999,15.259172837999133
clip348.mov,46.146465386284724,183.92836353443286,12.992131641529225
clip349.mov,41.51019474735967,172.75605077672887,13.936375257703993
clip350.mov,36.34816180193866,157.73324738679108,12.293139354564525
clip351.mov,30.073928335684325,176.50259069372112,14.079799262152777
clip352.mov,29.698358493381082,146.59839274088543,19.018840625904236
clip353.mov,25.101185777452255,155.29050091778788,21.331012663664644
clip354.mov,25.723703503619966,157.46318086953315,21.45394840610225
clip355.mov,27.43383782280817,157.36216028284142,19.600111106589985
clip356.mov,71.02140229401765,79.22748044614438,48.649256727430554
clip357.mov,87.37877039026331,80.95353047688803,45.409131514937805
clip358.mov,87.07917220504193,81.22094801161028,45.10087060998987
clip359.mov,86.0137444616247,79.5612136727792,70.76042855721933
clip360.mov,84.17183876320169,54.79005495424625,98.22782348632813
clip361.mov,84.20724455656828,66.13826716670286,57.57726365831159
clip362.mov,85.86157287597659,71.26597283257381,60.38854591652202
clip363.mov,87.64510249385127,81.0443992558232,66.39901995623552
clip364.mov,83.01662889268663,70.6639395706742,76.26777054398146
clip365.mov,87.38811631944442,70.54059818974248,73.83549542462383
clip366.mov,83.9853352186415,68.04069907859518,71.5914038764106
clip367.mov,83.24393731011284,74.34909073441119,73.5798422354239
clip368.mov,79.60953769259983,68.4714254647714,77.8488230839482
clip369.mov,84.12840117277922,53.34012460214121,120.53536469636141
clip370.mov,63.6451478633174,50.35458288122104,82.36264926486545
clip371.mov,76.19167143645109,71.13809280960648,56.84692473234953
clip372.mov,81.20124507197626,59.97600371184171,70.6381635651765
clip373.mov,67.74027947319877,73.7200279405382,53.680129869249136
clip374.mov,73.02876123498984,71.3935244185836,58.690202410662614
clip375.mov,66.39304456634162,73.64547692265072,49.89839873762559
clip376.mov,67.64675892017505,77.26892652723525,49.500203405309605
clip377.mov,66.5602791341146,80.84267159921153,42.87128128616899
clip378.mov,67.87270458080152,89.06887091742622,35.758251614040795
clip379.mov,76.26069530345771,73.00625750506364,49.3890567807798
clip380.mov,82.35636311848957,79.37497585720486,44.000195267288774
clip381.mov,65.41927216706453,78.62151731137877,35.60056495949075
clip382.mov,66.33556125217014,85.67019323278357,26.904738769531253
clip383.mov,74.69990616409866,61.69317828143084,98.20195852774161
clip384.mov,72.68076972113715,64.49141850224247,74.49914406105323
clip385.mov,64.94687303331163,60.623794171368644,72.78206414116754
clip386.mov,78.69713729293257,68.9965247938368,55.807173190646715
clip387.mov,83.15520623101129,64.5437550636574,124.50755545156976
clip388.mov,83.12249351218895,73.46334529170285,61.2639141619647
clip389.mov,72.93937656732254,72.17488028067129,29.391597825038577
